nombre_id,area,perimetro,ancho,altura,circularidad,feret,FeretAngle,min_feret,razon_aspecto,redondez,Solidity,esferoide,dia,diametro,poblacion_celular
Esferas_BT474_dia_0_well_2_100X_1_blob_50,608.2748,104.801,34.6467,28.5326,0.696,37.3888,24.7024,20.9783,1.9321,0.5176,0.9,no,0,29.183550000000004,4.027595806148075
Esferas_BT474_dia_0_well_2_100X_1_blob_64,781.8038,122.5606,40.0815,31.9293,0.654,43.2281,30.1916,25.4292,1.9673,0.5083,0.8911,no,0,34.32865,6.555437698124084
Esferas_BT474_dia_1_well_2_100X_2_blob_1,914.7197,113.9139,36.6848,31.9293,0.8858,37.8489,158.9625,31.9293,1.1711,0.8539,0.964,si,1,34.8891,6.8817805491633655
Esferas_BT474_dia_1_well_2_100X_2_blob_2,1206.8577,140.0871,38.7228,46.875,0.7728,51.6706,65.1196,28.7773,1.7679,0.5657,0.9614,si,1,40.22395,10.545949038488551
Esferas_BT474_dia_1_well_2_100X_2_blob_3,1347.6193,139.9905,44.1576,39.4022,0.8641,44.6771,171.2538,39.1857,1.1436,0.8744,0.962,si,1,41.9314,11.946745396263234
Esferas_BT474_dia_1_well_2_100X_2_blob_4,1484.2273,149.1034,44.1576,44.837,0.8389,51.0642,130.684,40.0298,1.2497,0.8002,0.9616,si,1,45.547,15.3112571642128
Esferas_BT474_dia_1_well_2_100X_2_blob_5,1008.8684,125.0448,38.7228,35.3261,0.8108,42.125,142.2061,33.102,1.2196,0.8199,0.9457,si,1,37.6135,8.623086870618188
Esferas_BT474_dia_1_well_2_100X_2_blob_6,1549.7622,152.2188,50.2717,38.7228,0.8405,50.9511,16.2602,38.2603,1.293,0.7734,0.9658,si,1,44.6057,14.381447406089794
Esferas_BT474_dia_1_well_2_100X_2_blob_7,1068.8652,124.1524,36.0054,38.0435,0.8714,40.2195,52.5494,35.8117,1.0882,0.919,0.9608,si,1,38.0156,8.90260424811345
Esferas_BT474_dia_1_well_2_100X_2_blob_8,442.5914,79.1223,23.7772,23.7772,0.8884,25.2184,27.2553,23.7772,1.0008,0.9992,0.9542,si,1,24.4978,2.3823895425706607
Esferas_BT474_dia_1_well_2_100X_2_blob_9,627.6583,95.7563,27.8533,30.5707,0.8602,32.2744,120.3432,24.9069,1.294,0.7728,0.9491,si,1,28.59065,3.78707239169321
Esferas_BT474_dia_1_well_2_100X_2_blob_11,479.051,82.0728,25.8152,23.0978,0.8937,27.3854,150.2551,23.0978,1.1221,0.8912,0.958,si,1,25.2416,2.606046500056148
Esferas_BT474_dia_1_well_2_100X_2_blob_12,935.0263,125.8408,35.3261,40.7609,0.742,41.7066,102.2251,34.8044,1.0194,0.981,0.9153,si,1,38.2555,9.072211525723263
Esferas_BT474_dia_1_well_2_100X_2_blob_14,996.8691,120.2411,38.0435,35.3261,0.8664,38.5556,165.7189,34.9522,1.1016,0.9078,0.9594,si,1,36.7539,8.045291939622492
Esferas_BT474_dia_1_well_2_100X_2_blob_15,1382.6944,142.8045,45.5163,40.7609,0.852,46.9291,22.1094,40.0391,1.1705,0.8543,0.9603,si,1,43.4841,13.32364268789346
Esferas_BT474_dia_1_well_2_100X_2_blob_16,1115.9396,128.2285,38.0435,36.6848,0.8529,40.1045,51.1886,36.6848,1.0327,0.9684,0.9628,si,1,38.39465,9.171569445255338
Esferas_BT474_dia_1_well_2_100X_2_blob_18,492.4349,82.8004,25.8152,25.1359,0.9026,27.1229,157.9321,25.0754,1.0349,0.9663,0.9544,si,1,26.09915,2.8807834284709912
Esferas_BT474_dia_1_well_2_100X_2_blob_19,627.6583,99.0365,32.6087,25.8152,0.8042,32.7217,175.2364,25.8152,1.233,0.8109999999999999,0.9341,si,1,29.26845,4.062849086127882
Esferas_BT474_dia_1_well_2_100X_2_blob_22,1317.1594,137.2731,46.1957,36.6848,0.8784,46.6925,8.3659,36.2892,1.2749,0.7844,0.9671,si,1,41.49085,11.574134265327096
Esferas_BT474_dia_1_well_2_100X_2_blob_23,1057.3274,133.197,31.25,46.875,0.7489,48.1187,103.0552,28.2314,1.7143,0.5833,0.929,si,1,38.17505,9.015096160042573
Esferas_BT474_dia_1_well_2_100X_2_blob_24,694.1163,99.7641,29.8913,31.9293,0.8764,33.3158,50.7928,27.2201,1.2177,0.8213,0.957,si,1,30.26795,4.493456518106315
Esferas_BT474_dia_1_well_2_100X_2_blob_25,529.8175,87.0414,25.1359,27.8533,0.8788,28.8383,105.0184,25.1359,1.0839,0.9226,0.9551,si,1,26.9871,3.184932076854344
Esferas_BT474_dia_1_well_2_100X_2_blob_26,990.8694,124.0841,38.0435,36.0054,0.8087,39.8042,27.4397,33.9868,1.1796,0.8477,0.9435,si,1,36.8955,8.138637786025955
Esferas_BT474_dia_1_well_2_100X_2_blob_27,599.506,91.6802,28.5326,27.8533,0.8963,28.6698,143.6732,27.8533,1.0042,0.9958,0.9569,si,1,28.26155,3.657795748461569
Esferas_BT474_dia_1_well_2_100X_2_blob_28,1126.5544,131.1107,44.1576,33.288000000000004,0.8235,44.4129,6.1466,33.288000000000004,1.3877,0.7206,0.9603,si,1,38.85045,9.502101835331842
Esferas_BT474_dia_1_well_2_100X_2_blob_30,1157.4758,136.2441,42.1196,36.6848,0.7836,43.3294,48.8141,36.6848,1.1565,0.8647,0.9409,si,1,40.0071,10.376305149771062
Esferas_BT474_dia_1_well_2_100X_2_blob_32,1148.2455,127.0346,38.0435,39.4022,0.8941,42.125,127.7939,36.2772,1.1777,0.8491,0.9687,si,1,39.2011,9.761718527543945
Esferas_BT474_dia_1_well_2_100X_2_blob_33,470.7437,84.7902,24.4565,23.7772,0.8228,27.7204,143.9726,23.7772,1.0537,0.9491,0.9414,si,1,25.74880000000001,2.766320541791265
Esferas_BT474_dia_1_well_2_100X_2_blob_34,902.2588,112.9531,31.9293,36.6848,0.8887,37.2156,111.413,31.2998,1.1723,0.853,0.9638,si,1,34.2577,6.51487557110425
Esferas_BT474_dia_1_well_2_100X_2_blob_35,535.8171,87.0414,27.1739,25.8152,0.8887,27.5869,170.0738,25.7547,1.0706,0.934,0.9505,si,1,26.6708,3.0742533005113466
Esferas_BT474_dia_1_well_2_100X_2_blob_36,1124.7083,127.5974,42.1196,35.3261,0.8681,43.0194,158.7026,33.7281,1.2648,0.7906,0.9646,si,1,38.37375,9.156600056800654
Esferas_BT474_dia_1_well_2_100X_2_blob_37,593.9678,92.4761,28.5326,25.8152,0.8728,29.8295,30.0686,25.8152,1.1064,0.9039,0.9569,si,1,27.82235,3.489899726982665
Esferas_BT474_dia_1_well_2_100X_2_blob_38,570.8922,89.3608,27.8533,26.4946,0.8984,28.3785,11.0409,26.4946,1.0445,0.9574,0.9593,si,1,27.43655,3.3467249438863065
Esferas_BT474_dia_1_well_2_100X_2_blob_39,1268.7005,139.3312,30.5707,49.5924,0.8212,49.9679,82.9716,30.5707,1.5939,0.6274,0.9657,si,1,40.2693,10.581658972387594
Esferas_BT474_dia_1_well_2_100X_2_blob_40,352.5963,70.0777,21.7391,21.0598,0.9023,22.9877,34.1597,21.0598,1.0622,0.9414,0.9497,si,1,22.02375,1.7310329136494105
Esferas_BT474_dia_1_well_2_100X_2_blob_41,1231.3179,137.8359,40.7609,41.4402,0.8144,42.5448,51.4831,39.9316,1.0289,0.9719,0.9454,si,1,41.238200000000006,11.36398420913874
Esferas_BT474_dia_1_well_2_100X_2_blob_42,782.2653,107.1204,36.0054,28.5326,0.8567,36.7727,11.7251,28.5326,1.2495,0.8003,0.9547,si,1,32.65265,5.641399029069466
Esferas_BT474_dia_1_well_2_100X_2_blob_43,403.3628,73.9206,23.0978,22.4185,0.9276,24.124,57.6526,22.4185,1.0587,0.9446,0.9599,si,1,23.27125,2.042164183920052
Esferas_BT474_dia_1_well_2_100X_2_blob_44,1138.0922,128.0636,42.1196,33.288000000000004,0.872,42.3872,173.5584,33.288000000000004,1.2456,0.8028,0.9703,si,1,37.8376,8.778135191847628
Esferas_BT474_dia_1_well_2_100X_2_blob_45,1269.6236,134.5557,40.0815,41.4402,0.8812,42.842,62.6223,39.7086,1.0545,0.9483,0.9654,si,1,41.2753,11.39468267980338
Esferas_BT474_dia_1_well_2_100X_2_blob_46,949.7947,116.6313,34.6467,35.3261,0.8774,38.1948,38.5007,33.9429,1.1128,0.8986,0.9639,si,1,36.06885,7.603760112246068
Esferas_BT474_dia_1_well_2_100X_2_blob_49,541.3553,88.2352,27.8533,25.8152,0.8738,27.9855,174.4278,25.8152,1.0604,0.943,0.9483,si,1,26.90035,3.1543168199806835
Esferas_BT474_dia_1_well_2_100X_2_blob_50,994.1,119.2804,39.4022,33.9674,0.878,39.8737,156.9296,32.7476,1.2172,0.8215,0.9599,si,1,36.31065,7.757710877754578
Esferas_BT474_dia_1_well_2_100X_2_blob_52,939.1799,115.8354,34.6467,34.6467,0.8796,36.1078,48.8141,34.6467,1.0096,0.9905,0.964,si,1,35.37725000000001,7.174699758236918
Esferas_BT474_dia_1_well_2_100X_2_blob_53,1154.7067,133.3619,43.4783,37.3641,0.8159,47.1156,28.4127,31.3402,1.5247,0.6559,0.9517,si,1,39.2279,9.781753140159434
Esferas_BT474_dia_1_well_2_100X_2_blob_54,856.1075,115.2043,33.9674,37.3641,0.8106,41.1721,127.6262,27.3837,1.4911,0.6707,0.9472,si,1,34.2779,6.526406826834687
Esferas_BT474_dia_1_well_2_100X_2_blob_56,1243.3173,132.7991,40.0815,40.7609,0.8859,43.8429,40.6013,37.469,1.1627,0.8601,0.968,si,1,40.65595,10.88939773408748
Esferas_BT474_dia_1_well_2_100X_2_blob_58,617.505,101.2877,27.8533,31.25,0.7564,32.2958,67.751,27.8533,1.0711,0.9336,0.9237,si,1,30.07455,4.407871580522949
